,國文,英文,數學,地理,歷史,總分,平均
1,63,95,74,95,76,403,80.6
2,72,73,79,66,81,371,74.2
3,62,72,69,92,76,371,74.2
4,82,64,84,61,69,360,72.0
5,93,87,73,86,68,407,81.4
6,90,80,91,72,62,395,79.0
7,60,72,67,90,76,365,73.0
8,76,81,95,98,61,411,82.2
9,62,61,72,97,69,361,72.2
10,69,90,80,91,84,414,82.8
11,86,73,96,79,69,403,80.6
12,72,85,78,67,69,371,74.2
13,91,78,98,82,88,437,87.4
14,78,72,93,80,67,390,78.0
15,64,74,75,99,95,407,81.4
16,85,89,61,86,98,419,83.8
17,89,92,81,68,77,407,81.4
18,77,85,60,77,77,376,75.2
19,68,92,69,89,69,387,77.4
20,99,72,80,93,92,436,87.2
21,98,99,82,64,84,427,85.4
22,89,78,94,73,67,401,80.2
23,85,62,85,71,75,378,75.6
24,73,62,72,81,78,366,73.2
25,83,91,71,66,77,388,77.6
26,88,88,60,98,73,407,81.4
27,93,78,95,69,69,404,80.8
28,73,87,62,66,71,359,71.8
29,94,61,80,82,82,399,79.8
30,74,95,79,75,71,394,78.8
31,72,91,77,95,64,399,79.8
32,70,89,82,70,64,375,75.0
33,79,97,73,89,65,403,80.6
34,66,72,94,94,95,421,84.2
35,68,74,95,89,97,423,84.6
36,98,79,73,84,90,424,84.8
37,87,85,95,97,80,444,88.8
38,75,87,64,85,74,385,77.0
39,82,83,82,92,84,423,84.6
40,87,95,86,85,67,420,84.0
41,76,73,73,71,96,389,77.8
42,88,94,80,93,98,453,90.6
43,62,80,64,87,67,360,72.0
44,71,63,66,73,82,355,71.0
45,65,66,92,94,86,403,80.6
46,98,80,95,90,91,454,90.8
47,71,97,71,82,85,406,81.2
48,67,85,77,81,83,393,78.6
49,99,68,75,88,70,400,80.0
50,94,79,96,76,97,442,88.4
